Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
A Rush of Blood to the Head,I Bloom Blaum (Inst. Demo),Early take of the song recorded at Mayfair Studios. Entirely instrumental; similar to the final but ends on a different chord. Audio sourced from AROBTTH camcorder recording sessions. Leaked by someone who worked for Guy in the early 2000s.,,,"Feb 14, 2026",Snippet,Recording,Snippet
A Rush of Blood to the Head,I Bloom Blaum (Demo),"Early take of the song recorded at Mayfair Studios. Similar to the final, but uses a different vocal take with more reverb. Audio sourced from AROBTTH camcorder recording sessions. Leaked by someone who worked for Guy in the early 2000s.",,,"Feb 14, 2026",Full,Recording,LINK NEEDED
A Rush of Blood to the Head,Murder (Demo 1),Recorded at Mayfair Studios. Audio sourced from AROBTTH camcorder recording sessions. Leaked by someone who worked for Guy in the early 2000's.,,,"Feb 14, 2026",Partial,Recording,LINK NEEDED
A Rush of Blood to the Head,Murder (Demo 2),Recorded at Mayfair Studios. Audio sourced from AROBTTH camcorder recording sessions. Leaked by someone who worked for Guy in the early 2000's.,,,"Feb 14, 2026",Partial,Recording,LINK NEEDED
A Rush of Blood to the Head,Murder (Demo 3),Recorded at Mayfair Studios. Audio sourced from AROBTTH camcorder recording sessions. Leaked by someone who worked for Guy in the early 2000's.,,,"Feb 13, 2026",Partial,Recording,LINK NEEDED
A Rush of Blood to the Head,Warning Sign (Demo),Recorded at Mayfair Studios in 2001. Leaked by someone who worked for Guy in the early 2000s.,,,"Feb 12, 2026",Partial,Recording,Partial
Moon Music,Good Feelings (2022),"OG Filename: GOOD FEELINGS RAK NP X 20221209C
Similar to the 2020 demo, but with improved mixing and some new lyrics.",,,"Oct 2, 2025",Snippet,Tagged,Snippet
Music of the Spheres,From Earth With Love (Early Mix),"OG Filename: FROM EARTH WITH LOVE LA CMedits ref X 2021104F
Early mix missing the pre-choruses and the rap bridge of the later demo. Uses elements from/that are present in the released version of Neon Forest.",3:09,,"Jul 6, 2025",Full,High Quality,From Earth With Love (Early Mix)
Music of the Spheres,⭐ My Heart,"OG Filename: MY HEART RF MXM edits ref x 20211118D
Early version of feelslikeimfallinginlove - also samples Funeral Singers by Sylvan Esso.",3:28,,"Jul 6, 2025",Full,High Quality,My Heart
Music of the Spheres,🗑️ Royalty (LA Demo),"OG Filename: ROYALTY LA demo ref X 20200129D
Much rougher demo with a metronome.",3:39,,"Jul 6, 2025",Full,High Quality,Royalty (LA Demo)
Music of the Spheres,Work,"OG Filename: WORK LA demo ref X 20200129C
Early version of People Of The Pride, keeping some of the lyrics of its VLV counterpart. Recorded at The Rainforest in Malibu.",3:28,,"Jul 6, 2025",Full,High Quality,Work
Moon Music,Unknown,"A 2025 soundcheck song seemingly had the lyrics ""in a world without you"".",,,"Apr 14, 2025",Partial,Recording,World Without You (2025)
Everyday Life,Wedding Bells (Spike Ref 4),"OG Filename: WEDDING BELLS SPIKE REF 4
Newer mix with original vocals (albeit better mixed) and an extended outro.",4:26,,"Apr 6, 2025",Full,High Quality,Wedding Bells (Spike Ref 4)
Ghost Stories,⭐ Kiss On The Lips (2020),"OG Filename: KISS ON THE LIPS HAM new voc ref X 20200910J
Revamped version of the song from 2020.",3:12,,"Apr 1, 2025",Full,High Quality,Kiss On The Lips (2020)
Everyday Life,Dreamin' On,"OG Filename: DREAMIN ON refmix X 20171206M
Rough demo of BrokEn from the Tuscany Sessions.",2:38,,"Mar 31, 2025",Full,High Quality,Dreamin' On
Everyday Life,Every Day Life (Tuscany) [V2],"OG Filename: EVERY DAY LIFE 100BPM RikLiveMonMix B 20171206E
Long jam of Everyday Story. Part of the Tuscany Sessions.",21:33,,"Mar 31, 2025",Full,High Quality,Every Day Life [V2]
Music of the Spheres,✨ Coloratura (2020) [V1],"OG Filename: COLORATURA LA 65bpm new keys ref X 20200703G
Rougher demo with more Max Martin involvement - only 5 minutes long.",5:50,,"Mar 31, 2025",Full,High Quality,Coloratura (2020) [V1]
Moon Music,Jupiter (2023) [V1],"OG Filename: JUPITER RikIbizaSesh RikComp FL MonMix WP 20230819N
Demo from 2023. This version is half an octave down (C Major) and includes crowd samples.",3:24,,"Mar 31, 2025",OG File,Lossless,Jupiter (2023) [V1]
Moon Music,Jupiter (2023) [V2],"OG Filename: JUPITER RikIbizaSesh RikComp FL MonMix WP tweaks 20230824D
Features more production and better mixing than the previous version.",3:24,,"Mar 31, 2025",OG File,Lossless,Jupiter (2023) [V2]
Moon Music,✨ You're The One For Me,"OG Filename: YOU'RE THE ONE FOR ME RF demo ref X 20220107B
Rough demo of Chris jamming on guitar. Samples an early version of Church (Tuscany).",,,"Mar 31, 2025",Full,High Quality,You're The One For Me
Everyday Life,Cinnamon (With Drums),"OG Filename: CINNAMON WithDrums RikLiveMonMix A 20171206E
Seemingly a properly recorded version of Gone But Not F. Cotton. Version with drums. Part of the Tuscany Sessions.",16:56,,"Mar 29, 2025",Full,High Quality,Cinnamon
