Era,Name,Notes,Track Length,"Leak
Date","File
Date",Available Length,Quality,Link(s)
,"TA13OO
(TABOO, 13)","(14/10/2016) (Imperial officially releases on Spotify)
(26/6/2017) (13 officially releases)
(25/7/2017) (TA13OO: Act 1 (Light) officially releases)
(26/7/2017) (TA13OO: Act 2 (Gray) officially releases)
(27/7/2017) (TA13OO officially releases)",,,"TA13OO is the third studio album by American rapper Denzel Curry. It was released in 3 acts between July 25 to 27, 2018, through PH Recordings and distributed by Loma Vista Recordings. Across the three sections of TA13OO, Denzel explores topics including molestation, the presidential election, fame, hatred, paranoia, revenge, love, the current state of music and personal tales of his own near-death experiences. Sonically, the album ranges just as widely as its subject matter, sounds of paranoia, fear of loss, brooding melancholy and mood swings straight from hell all find their way onto TA13OO.",,,
TA13OO,PERCS|PERCZ (Instrumental),Leaked instrumental for PERCS|PERCZ.,,,,Instrumental,CD Quality,https://pillows.su/f/5997fcd7ddf246bfbe4291cb5b16b0f8
TA13OO,SUMO|ZUMO (Instrumental),Leaked instrumental for SUMO|ZUMO.,,,,Instrumental,CD Quality,https://pillows.su/f/842d0c6d36e4fd70b2163eeedc64ee01
,ZUU,"(27/7/2017) (TA13OO officially releases)
(31/5/2019) (ZUU officially releases)",,,"ZUU is the fourth studio album by American rapper Denzel Curry, released through PH Recordings and Loma Vista on May 31, 2019. The title is a nickname for his home city, Carol City, Florida. Denzel Curry said that while his previous album TA13OO was rooted in darker themes, ZUU came from homesickness for Miami. He explained: ""it goes from the sounds of where I grew up, to what I was raised around, to the people I was raised around, to the sounds that pretty much shaped the person I am.",,,
ZUU,RICKY (Instrumental),Leaked instrumental for RICKY.,,,,Instrumental,CD Quality,https://pillows.su/f/9129ac6a7dcce062b786a24d69be8a68
,"UNLOCKED
(Collaboration with Kenny Beats)","(31/5/2019) (ZUU officially releases)
(7/2/2020) (UNLOCKED officially releases)
(5/3/2021) (UNLOCKED 1.5 officially releases)",,,"UNLOCKED is an collaborative EP by American rapper Denzel Curry in collaboration with American record producer Kenny Beats. It was released on February 7, 2020, by PH Recordings and Loma Vista Recordings. The album was accompanied by a short film that was released on February 6, 2020. While Denzel Curry was touring for his 2018 album, TA13OO, his manager, Mark Maturah, expressed interest in pairing Curry in a recording booth with Kenny Beats. The two had a feud over one of these beats being used by another artist as it was supposed to be used on Curry's 2019 album, Zuu, causing Curry to hate Kenny for ""months"".",,,
UNLOCKED,"UNLOCKED (Instrumentals)
(with Kenny Beats)",Instrumental EP of UNLOCKED. Officially released in 2020.,,,,Instrumental,Lossless,https://open.spotify.com/album/3qBjWOPsBWKPlVlclxIeWZ?si=f4QyC_PcQCi0jK5yCkjWww
,"Melt My Eyez, See Your Future","(5/3/2021) (UNLOCKED 1.5 officially releases)
(25/3/2022) (Melt My Eyez, See Your Future officially releases)
(1/6/2022) (Melt My Eyez, See Your Future (The Extended Edition) officially releases)",,,"Melt My Eyez See Your Future is the fifth studio album by American rapper Denzel Curry, released through PH and Loma Vista Recordings on March 25, 2022. Denzel Curry first began envisioning the album's themes in 2018, and began working on it after the completion of his 2019 album, Zuu. He revealed the album title in a November 2021 interview with Las Vegas Weekly.[3] Melt My Eyez is a metaphor for people's tendency to avoid facing difficult topics in day-to-day life, while See Your Future is motivation for moving on by putting one's past behind and focusing on what's yet to come.",,,
"Melt My Eyez, See Your Future",The Game (Instrumental),Leaked instrumental for The Game,,,,Instrumental,CD Quality,https://pillows.su/f/13615cbb047821729ce89ea0ac1103ff
"Melt My Eyez, See Your Future",Troubles (Instrumental),Leaked instrumental for Troubles.,,,,Instrumental,CD Quality,https://pillows.su/f/fc5f5de8abb866e4718df782c583c239
"Melt My Eyez, See Your Future",Zatoichi (Instrumental),Leaked instrumental for Zatoichi.,,,,Instrumental,CD Quality,https://pillows.su/f/ad132eb1533ddb23ba44269f9ef774a8
"Melt My Eyez, See Your Future",John Wayne [V2] (Instrumental),"Instrumental for John Wayne, previewed on NTS Radio. Contains a longer intro and outro.",,,,Instrumental,High Quality,https://pillows.su/f/3b21c019973f7648aae8277ad26ce189
"Melt My Eyez, See Your Future",Live From The Abyss (Instrumental),Leaked instrumental for Live From The Abyss.,,,,Instrumental,CD Quality,https://pillows.su/f/c8c1dc31f2a04b4da75e14b590baec8e
"Melt My Eyez, See Your Future",X-Wing (Instrumental),Leaked instrumental for X-Wing.,,,,Instrumental,CD Quality,https://pillows.su/f/449833bf60afc5d6be0f28c85a9c18aa
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable","KING OF THE MISCHIEVOUS SOUTH VOL 2
(ULTRAGROUND, UNLOCKED VOL 2 )","(19/7/2024) (King Of The Mischievous South Vol. 2 officially releases)
(30/10/2024) (Denzel announces a deluxe version)
(15/11/2024) (KING OF THE MISCHEVIOUS SOUTH officially releases)",,,"King of the Mischievous South Vol. 2 is the debut commercial mixtape by American rapper Denzel Curry, released on July 19, 2024, via PH Recordings and Loma Vista. It serves as the sequel to his third mixtape King of the Mischievous South Vol. 1 Underground Tape 1996 (2012). ",,,
KING OF THE MISCHIEVOUS SOUTH VOL 2,HOT ONE (Instrumental),Leaked instrumental for Hot One.,,,,Instrumental,CD Quality,https://pillows.su/f/46183288abd2cb54fb8fe72af4f887f0
KING OF THE MISCHIEVOUS SOUTH VOL 2,ICE COLD ZEL FREESTYLE (Stems),Official stems posted by Denzel on his twitter. Link is broken. All of the stems were MOV files.,,,,Stems,Not Available,Denzel Tweet With Dead Link
