Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
Compton,Compton,,"Mike Saputo, Jeremy Deputat",Digital,,Front Cover,Used,
Compton,Compton [Dayton Concept],One of roughly twenty concept covers sent to Dre by Mike Saputo. Features the Compton title on a tightly cropped image of a wheel. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
Compton,Compton [The Face Of Compton],One of roughly twenty concept covers sent to Dre by Mike Saputo. Features a map of Compton overlayed on Dre's face. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
Compton,Compton [Map Concept],One of roughly twenty concept covers sent to Dre by Mike Saputo. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
Compton,Compton [Flag Concept],One of roughly twenty concept covers sent to Dre by Mike Saputo. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
Compton,Compton [Stained Glass & Bandana Concept],One of roughly twenty concept covers sent to Dre by Mike Saputo. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
Compton,"Compton [""For the homies"" Concept]",Two of roughly twenty concept covers sent to Dre by Mike Saputo. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
Compton,Compton [California Flag Concept],One of roughly twenty concept covers sent to Dre by Mike Saputo. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
Compton,Compton [OE 800 Concept],One of roughly twenty concept covers sent to Dre by Mike Saputo. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
Compton,Compton [Straight Outta Compton Callback Concept],One of roughly twenty concept covers sent to Dre by Mike Saputo. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
Compton,Compton [Low Rider Concept],One of roughly twenty concept covers sent to Dre by Mike Saputo. Posted on Mike Saputo's Instagram.,Mike Saputo,Digital,,Front Cover,Concept Art,https://www.instagram.com/p/BkRmYLulWjv/?img_index=1
