Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Trilogy,Trilogy [Instrumentals],"Official instrumentals for ""Trilogy"". Leaked in late 2016. Missing instrumentals for following songs: ""D.D."", ""Outside"", ""Initiation"", ""Next"", ""Echoes Of Silence"" .",,,,,Full,High Quality,Link
,Kiss Land,"(12/21/2011) (Echoes Of Silence is released)
(09/10/2013) (Kiss Land is released)",,,,,"After the release of the Trilogy mixtapes, Abel went to various places around the world to perform and work on his debut album, working once again with producer Illangelo and later working with producers such as DannyBoyStyles and DaHeala. In March 2013, Abel would announce 'Kiss Land' as the title and release a handful of singles over the course of the year before the September 10th release. Kiss Land was a symbolism for the tour life according to Abel, a universe created by him to express his fear of the unknown, being inspired by horror filmmakers like John Carpenter, David Cronenberg & Ridley Scott to create a fearful, sonically unpleasant atmosphere.",,
Kiss Land,Kiss Land [Instrumentals],"Official instrumentals for ""Kiss Land"". Leaked in late 2016.",,,,,Full,Lossless,Link
Kiss Land,Why Feel Bad [Studio Session],"Leaked on Dec. 7, 2023.",,,,,,,Link
,"Untitled
(2014 Album)","(09/10/2013) (Kiss Land is released)
(08/XX/2014) (Republic Records offers Abel making original music for the Fifty Shades of Grey film)",,,,,"Following the criticism and underperformance of his debut album 'Kiss Land', Abel continued to work on music shortly after it's release. In 2014, Abel released singles such as 'King of The Fall' and 'Often' to keep fans held over until his second studio album alongside a series of one-night concert events. Eventually, whatever project Abel had at the time eventually got scrapped after Republic Records offered him opportunites to gain more mainstream appeal, such as creating original music for the 'Fifty Shades of Grey' film and collaborating with Ariana Grande.",,
Pre-BBTM,King Of The Fall Tour,"Files for the ""King Of The Fall Tour"". Leaked on Feb. 3, 2023. Will link an edit without the ""1 2 3 5""",,,,,Full,CD Quality,Link
Pre-BBTM,Landr Hakkasan,Files for the performance at Landr Hakkasan.,,,,,Full,CD Quality,Link
,"Beauty Behind The Madness
(Vices & Madonna, Inside Our Dangerously Empty Lives, Mania, Manic Phase, There's Beauty Behind The Madness)","(08/XX/2014) (Republic Records offers Abel making original music for the Fifty Shades of Grey film)
(08/28/2015) (Beauty Behind The Madness is released)",,,,,"Once Abel began to work on original music for 'Fifty Shades of Grey' with singles like 'Earned It', he began leaning in to a more mainstream pop sound working with producers like Max Martin and Oscar Holter during the sessions for 'Beauty Behind The Madness', his second studio album released on August 28th, 2015 with the singles 'Cant Feel My Face' and 'The Hills' dominating the pop charts throught the entirety of the year.",,
BBTM,Beauty Behind The Madness [Instrumentals],"Official instrumentals for ""Beauty Behind The Madness"". Leaked in late 2016.",,,,,Full,Lossless,Link
BBTM,Can't Feel My Face [Stems],"Official stems for ""Can't Feel My Face"". Leaked in late 2017.",,,,,Full,,Link
