Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"0 Album Track(s)
1 Single(s)
0 Feature(s)
8 EP Track(s)
2 B-Side(s)
3 Promo Track(s)
0 Other",Early Days / Pre-Parachutes,"January 16th, 1998 (Small release of the Ode to Deodorant promo tape)
March 6th, 2000 (Shiver release)",,,Other,,
Early Days,Ode to Deodorant,"First song ever released as The Coldplay. Released via a promo cassette for publicity which their manager (Phil Harvey) used to get them gigs. The song has two copyright listings on ASCAP, with one misspelling ""deodorant"" and ""deodrant.""",4:23,"Jan 16, 1998",Other,No,MP3 File
Early Days,Brothers + Sisters,First song ever released as The Coldplay. Released via a promo cassette for publicity which their manager (Phil Harvey) used to get them gigs. Two new versions of this were later released during different eras.,4:28,"Jan 16, 1998",Other,No,MP3 File
Early Days,Bigger Stronger,"Thought to be Coldplay's first release, the Safety EP actually came after the Ode to Deodorant promo release. This song and Such a Rush were later re-released on The Blue Room EP.",4:49,"May 25, 1998",EP Track,Yes,Spotify (Taken from The Blue Room E.P.)
Early Days,No More Keeping My Feet on the Ground,"Thought to be Coldplay's first release, the Safety EP actually came after the Ode to Deodorant promo release. This song was later re-released as a B-side on the Yellow single.",4:31,"May 25, 1998",EP Track,Yes,Spotify (Taken from the Yellow single)
Early Days,Such a Rush,"Thought to be Coldplay's first release, the Safety EP actually came after the Ode to Deodorant promo release. This song and Bigger Stronger were later re-released on The Blue Room EP.",4:57,"May 25, 1998",EP Track,Yes,Spotify (Taken from The Blue Room E.P.)
Early Days,Brothers & Sisters,Released as Coldplay's debut single. Revamped from the Ode To Deodorant promo cassette. Later re-recorded for Parachutes.,4:05,"Apr 26, 1999",Single,Yes,Spotify
Early Days,Easy to Please,B-Side to Brothers & Sisters. Background ambience was created by 'setting up microphones on a wet road outside the studio'. Allegedly re-recorded for Parachutes.,3:01,"Apr 26, 1999",Other,Yes,Spotify
Early Days,Only Superstition,B-Side to Brothers & Sisters. Allegedly re-recorded for Parachutes.,3:48,"Apr 26, 1999",Other,Yes,Spotify
Early Days,Spies,Early version of Spies released on a promo compilation CD for Parlophone. It originally had a music video that was given to Bigger Stronger instead. Produced by Chris Allison.,4:30,Mid 1999,Other,No,FLAC File
Early Days,Bigger Stronger,Re-released from the Safety EP. Re-recorded for Parachutes but scrapped - though this version was played live.,4:49,"Oct 11, 1999",EP Track,Yes,Spotify
Early Days,Don't Panic,Produced by Chris Allison. Had the working title of Panic (Part 1) as evidenced by its leaked instrumental. Recorded in 1999. Later re-recorded for Parachutes.,2:38,"Oct 11, 1999",EP Track,Yes,Spotify
Early Days,See You Soon,"Frequently played on the A Rush Of Blood To The Head tour in a slower, more acoustic manner. This version could be the alleged version re-recorded for Parachutes. Later re-released on the Acoustic EP.",2:51,"Oct 11, 1999",EP Track,Yes,Spotify
Early Days,High Speed,"Produced by Chris Allison. Originally released on The Blue Room EP, the song would later be re-released on Parachutes. A new version was recorded for the album but scrapped.",4:16,"Oct 11, 1999",EP Track,Yes,Spotify
Early Days,Such a Rush,Re-released from the Safety EP. Allegedly re-recorded for Parachutes.,4:57,"Oct 11, 1999",EP Track,Yes,Spotify
"12 Album Track(s)
5 Single(s)
0 Feature(s)
10 EP Track(s)
15 B-Side(s)
0 Promo Track(s)
0 Other","Parachutes
(p.k.a. Help Is Round The Corner, Don't Panic, and Yellow)","March 6th, 2000 (Shiver release)
June 19th, 2002 (A Rush Of Blood To The Head Tour Begins)",,,Other,,
Parachutes,Don't Panic,"Track 1 of Parachutes. 11th song to be written by the band, originally called Panic. This is also one of the only songs that Jonny sings on. This version was re-produced by Ken Nelson. The song was recorded live, with Jonny overdubbing guitar parts. Recorded in Rockfield Studios in Wales, and Parr Street Studio in Liverpool. Later released as the fourth and final single from Parachutes.",2:17,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,Shiver,"Track 2 of Parachutes and the lead single of the album. Supposedly written 2 years before release. The song was heavily speculated to be written about Natalie Imbruglia, though Chris has denied this. It is also very inspired by the music of Jeff Buckley, which Chris was listening to while writing the song. It was produced by Ken Nelson and recorded in Rockfield Studios in Wales.",5:02,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,Spies,"Track 3 of Parachutes, rewritten from the Blue Room Era. Produced by Ken Nelson and mostly recorded in Rockfield Studios across 3 days, and was apparently one of the hardest to record on the whole album.",5:19,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,Sparks,"Track 4 of Parachutes. Produced by Ken Nelson and recorded at the time as We Never Change as 'basically a live take'. Recently the song has had a chart resurgence due to blowing up on TikTok. Later re-released on the Acoustic EP, which is also known as the Sparks EP.",3:47,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,Yellow,"Track 5 of Parachutes and its second single. The song was written at Rockfield Studios during a break from recording Shiver. It originally started out by Chris playing on acoustic guitar, where he wrote the verse. Will and Jonny didn't care for the song when they were presented it, they were busy playing FIFA. While recording in England, the band had Yellow mixed in New York. Unhappy with the results, they flew over to personally ensure the track achieved the sound they envisioned. It was produced by Ken Nelson and became one of the bands biggest hits.",4:29,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,Trouble,"Track 6 of Parachutes and the album's third single. The song has 2 different music videos, one being dubbed the 'UK Version'. It was originally written as an apology for Chris kicking Will out of the band, and it stemmed from a demo called Spiderwebs. The song is apparently inspired by Supergrass. Produced by Ken Nelson and took 4 takes to record.",4:33,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,Parachutes,"Track 7 and the title track of Parachutes. Chris tried an extended, instrumental version played on piano but eventually decided on the guitar arrangement. Produced by Ken Nelson and took multiple takes to finish.",0:46,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,High Speed,"Track 8 of Parachutes. Re-released from The Blue Room EP. A newer version for Parachutes was recorded, but for some reason not picked to be on the album. Produced by Chris Allison.",4:16,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,We Never Change,Track 9 of Parachutes. Produced by Ken Nelson and recorded at the same time as Sparks. It was recorded as a full live take.,4:09,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,Everything's Not Lost,"The 10th and final track of Parachutes. Produced by Ken Nelson, and was the last to be recorded, itt almost wasn't on the album at all. It includes a hidden track, Life Is for Living.",5:28,"Jul 10, 2000",Album Track,Yes,Spotify
Parachutes,Life Is for Living,Hidden track on Everything's Not Lost. Played on a pump organ. The live version is loved by fans due to being a more explosive rendition of the song with new lyrics.,1:36,"Jul 10, 2000",Other,Yes,Spotify
Parachutes,Shiver,"Lead single of Parachutes, taken from the LP. It spawned 2 B-Sides, For You and Careful Where You Stand.",5:02,"Mar 6, 2000",Single,Yes,Spotify
Parachutes,For You,B-Side to Shiver. Originally released as a bonus track on the Japanese Edition of Parachutes. Produced by Ken Nelson.,5:45,"Mar 6, 2000",Other,Yes,Spotify
Parachutes,Careful Where You Stand,B-Side to Shiver. Originally released as a bonus track on the Japanese Edition of Parachutes. Produced by Ken Nelson. Later re-released on the Acoustic EP. Also known as Be Careful Where You Stand.,4:45,"Mar 6, 2000",Other,Yes,Spotify
Parachutes,Yellow,"Second single of Parachutes, taken from the LP. It spawned 2 B-Sides, Help Is Round the Corner and No More Keeping My Feet On the Ground (re-released from the Safety EP).",4:31,"Jun 26, 2000",Single,Yes,Spotify
Parachutes,Help Is Round the Corner,"B-Side to Yellow. Produced by Ken Nelson and recorded in Times Square in New York, at the same time as Yellow.",2:36,"Jun 26, 2000",Other,Yes,Spotify
